# seg	start		stop		duration
0 966384128		966384257	129
1 966384527		966384530	3
2 966384928		966384931	3
3 966385503		966385506	3
4 966385685		966385688	3
5 966386561		966386564	3
6 966386590		966386593	3
7 966386881		966386993	112
8 966387301		966387304	3
9 966387995		966387999	4
10			966388083	966388086	3
11			966388107	966388110	3
12			966388153	966388156	3
13			966389178	966389181	3
14			966389325	966389328	3
15			966389772	966389775	3
16			966390497	966390500	3
17			966390992	966390995	3
18			966392406	966392409	3
19			966392740	966392743	3
20			966393705	966393816	111
21			966395291	966395309	18
22			966395430	966395433	3
23			966395710	966395713	3
24			966396299	966396302	3
25			966396426	966396430	4
26			966398205	966398208	3
27			966398245	966398248	3
28			966398647	966398650	3
29			966399006	966399009	3
30			966399271	966399274	3
31			966400194	966400197	3
32			966400441	966400458	17
33			966400480	966400483	3
34			966400959	966400962	3
35			966401065	966401176	111
36			966401710	966401713	3
37			966403235	966403238	3
38			966403969	966403972	3
39			966404044	966404047	3
40			966404249	966404252	3
41			966404311	966404314	3
42			966404549	966404552	3
43			966404916	966404919	3
44			966406736	966406848	112
45			966407162	966407165	3
46			966408490	966408493	3
47			966409279	966409339	60
48			966409399	966411919	2520
49			966412039	966412279	240
50			966412680	966412683	3
51			966412732	966412735	3
52			966413121	966413249	128
53			966413969	966413972	3
54			966414892	966414899	7
55			966414999	966415006	7
56			966415034	966415037	3
57			966415102	966415107	5
58			966415109	966415113	4
59			966415114	966415117	3
60			966415465	966415577	112
61			966415586	966415604	18
62			966415681	966415684	3
63			966417657	966417660	3
64			966418787	966418790	3
65			966420249	966420252	3
66			966420398	966420415	17
67			966420457	966420568	111
68			966421163	966421166	3
69			966421538	966421543	5
70			966422751	966422754	3
71			966424003	966424021	18
72			966424076	966424079	3
73			966425159	966425162	3
74			966425555	966425558	3
75			966425918	966425921	3
76			966427013	966427016	3
77			966427391	966427394	3
78			966427709	966427712	3
79			966427780	966427783	3
80			966427819	966427822	3
81			966427967	966427970	3
82			966428043	966428046	3
83			966428254	966428377	123
84			966428378	966428379	1
85			966428402	966428542	140
86			966428570	966428571	1
87			966428591	966428610	19
88			966428612	966428625	13
89			966428632	966428746	114
90			966428747	966428750	3
91			966428751	966428890	139
92			966428896	966428899	3
93			966428900	966428903	3
94			966428906	966428908	2
95			966428910	966428914	4
96			966428918	966428919	1
97			966428920	966428923	3
98			966428933	966428938	5
99			966428942	966428962	20
100			966428966	966428968	2
101			966428969	966428971	2
102			966428972	966428988	16
103			966428990	966429077	87
104			966429089	966429091	2
105			966429093	966429094	1
106			966429096	966429105	9
107			966429124	966429125	1
108			966429127	966429142	15
109			966429153	966429164	11
110			966429491	966429506	15
111			966429513	966429522	9
112			966429569	966429573	4
113			966429579	966429597	18
114			966430357	966430375	18
115			966430402	966430405	3
116			966430434	966430437	3
117			966430683	966430686	3
118			966430776	966430779	3
119			966430815	966430818	3
120			966430848	966430853	5
121			966431074	966431078	4
122			966431134	966431137	3
123			966431194	966431198	4
124			966431202	966431205	3
125			966431248	966431251	3
126			966431260	966431263	3
127			966431398	966431401	3
128			966431410	966431414	4
129			966431420	966431423	3
130			966431435	966431438	3
131			966431443	966431446	3
132			966431471	966431474	3
133			966431485	966431488	3
134			966431490	966431507	17
135			966431544	966431548	4
136			966431552	966431557	5
137			966431558	966431561	3
138			966431632	966431635	3
139			966431650	966431655	5
140			966431656	966431659	3
141			966431717	966431736	19
142			966432063	966432066	3
143			966432075	966432078	3
144			966432238	966432241	3
145			966432395	966432398	3
146			966432449	966432453	4
147			966432547	966432550	3
148			966432587	966432590	3
149			966432637	966432640	3
150			966432747	966432750	3
151			966432864	966432867	3
152			966432892	966432895	3
153			966433140	966433143	3
154			966433210	966433213	3
155			966433283	966433286	3
156			966433296	966433299	3
157			966433387	966433391	4
158			966433566	966433570	4
159			966433714	966434852	1138
160			966434862	966434865	3
161			966434867	966434870	3
162			966434885	966434886	1
163			966434895	966434897	2
164			966434912	966434914	2
165			966434953	966434955	2
166			966434956	966434957	1
167			966435010	966435011	1
168			966435012	966435013	1
169			966435047	966435048	1
170			966435120	966435193	73
171			966435234	966435235	1
172			966435287	966435288	1
173			966435313	966435322	9
174			966435331	966435333	2
175			966435338	966435339	1
176			966435341	966435350	9
177			966435372	966435386	14
178			966435398	966435407	9
179			966435460	966435464	4
