# seg	start    	stop     	duration
229	967305739	967305771	32
230	967306039	967306530	491
231	967307332	967307620	288
232	967307989	967308405	416
233	967308779	967308913	134
234	967314844	967315088	244
235	967315096	967315102	6
236	967321409	967321463	54
237	967321598	967321608	10
238	967321714	967321739	25
239	967322040	967322079	39
240	967322126	967322129	3
241	967322217	967322686	469
242	967322687	967322691	4
243	967322744	967323341	597
244	967323629	967323652	23
245	967323679	967323715	36
246	967324367	967324799	432
247	967325001	967326746	1745
248	967327056	967327157	101
249	967327209	967327232	23
250	967327303	967327364	61
251	967327558	967327852	294
252	967327946	967327994	48
253	967328051	967330147	2096
254	967330151	967330285	134
255	967330376	967330759	383
256	967332138	967335556	3418
257	967335560	967336072	512
258	967336087	967337033	946
259	967338237	967338716	479
260	967338731	967339856	1125
261	967340407	967341249	842
262	967341322	967342742	1420
263	967342976	967344121	1145
264	967344126	967344639	513
265	967344654	967344831	177
266	967344995	967345001	6
267	967345531	967345828	297
268	967345959	967346182	223
269	967346641	967346857	216
270	967347103	967347301	198
271	967347528	967347699	171
272	967347771	967347841	70
273	967349622	967349691	69
274	967351998	967355430	3432
275	967355445	967355495	50
276	967355510	967355538	28
277	967355699	967356108	409
278	967356117	967356630	513
279	967356645	967357510	865
280	967357704	967357743	39
281	967357824	967357860	36
282	967358442	967358493	51
283	967358642	967358684	42
284	967358882	967358923	41
285	967359808	967360426	618
286	967360431	967360945	514
287	967360960	967361616	656
288	967361882	967361923	41
289	967362171	967362207	36
290	967362634	967363124	490
291	967363129	967363158	29
292	967363288	967363766	478
293	967363772	967363860	88
294	967364503	967364569	66
295	967364827	967364883	56
296	967365277	967365315	38
297	967365568	967366101	533
298	967366116	967366139	23
299	967366154	967366663	509
300	967366678	967367466	788
301	967368030	967368069	39
302	967368156	967368194	38
303	967368278	967369122	844
304	967369137	967383779	14642
305	967384189	967384589	400
306	967384604	967384613	9
307	967384628	967385141	513
308	967385156	967385452	296
309	967385466	967385643	177
310	967386062	967386112	50
311	967386468	967387157	689
312	967387168	967387194	26
313	967387396	967387867	471
314	967387882	967390244	2362
315	967390436	967391895	1459
316	967391910	967393780	1870
317	967394000	967394716	716
318	967401065	967401177	112
319	967401307	967401799	492
320	967401856	967401906	50
321	967402015	967402024	9
322	967402178	967402460	282
323	967402608	967402625	17
324	967402700	967403478	778
325	967403794	967404347	553
326	967405402	967405405	3
327	967405916	967406000	84
328	967406137	967407406	1269
329	967407430	967407938	508
330	967407953	967500382	92429
331	967500397	967506711	6314
332	967569915	967570925	1010
333	967571184	967571307	123
334	967571383	967571877	494
335	967572437	967572443	6
336	967572671	967572679	8
337	967572770	967572890	120
338	967573315	967573358	43
339	967573826	967573827	1
340	967574331	967574334	3
341	967574346	967574349	3
342	967574351	967574352	1
343	967574369	967574370	1
344	967574372	967574373	1
345	967574376	967574377	1
346	967574379	967574381	2
347	967574382	967574383	1
348	967574384	967574386	2
349	967574388	967574390	2
350	967574415	967574416	1
351	967574422	967574423	1
352	967574424	967574425	1
353	967574427	967574431	4
354	967574439	967574442	3
355	967574448	967574451	3
356	967574454	967574457	3
357	967574458	967574461	3
358	967574470	967574473	3
359	967574477	967574478	1
360	967574488	967574489	1
361	967574495	967574497	2
362	967574499	967574500	1
363	967574502	967574505	3
364	967574508	967574513	5
365	967574523	967574524	1
366	967574529	967574534	5
367	967574536	967574538	2
368	967574540	967574541	1
369	967574736	967574737	1
370	967577149	967577150	1
371	967579281	967579282	1
372	967579326	967579327	1
373	967579348	967579350	2
374	967579468	967579469	1
375	967579517	967579518	1
376	967579523	967579524	1
377	967579599	967579601	2
378	967579604	967579605	1
379	967579649	967579650	1
380	967579660	967579661	1
381	967579818	967579820	2
382	967587274	967587275	1
383	967587277	967587279	2
384	967587280	967587282	2
385	967587286	967587287	1
386	967587290	967587293	3
387	967587300	967587301	1
388	967587306	967587307	1
389	967587309	967587316	7
390	967587318	967587320	2
391	967587321	967587332	11
392	967587334	967587336	2
393	967587352	967587354	2
394	967587367	967587369	2
395	967587370	967587372	2
396	967587373	967587381	8
397	967587382	967587384	2
398	967587398	967587399	1
399	967587415	967587416	1
400	967587418	967587420	2
401	967587421	967587432	11
402	967587446	967587448	2
403	967587472	967587473	1
404	967587477	967587479	2
405	967587480	967587483	3
406	967587484	967587486	2
407	967587487	967587488	1
408	967592853	967592854	1
409	967593091	967593092	1
410	967596480	967596481	1
411	967649561	967650482	921
412	967650488	967651000	512
413	967651015	967651075	60
414	967651923	967652489	566
415	967652504	967652519	15
416	967652534	967653046	512
417	967653061	967658964	5903
418	967659284	967659532	248
419	967659605	967661183	1578
420	967661188	967661700	512
421	967661715	967665568	3853
422	967666331	967666374	43
423	967666478	967666520	42
424	967666702	967667236	534
425	967667241	967667751	510
426	967667766	967679980	12214
427	967680074	967680336	262
428	967680388	967680651	263
429	967680762	967682878	2116
430	967683091	967683145	54
431	967684554	967684876	322
432	967685208	967685272	64
433	967685373	967685983	610
434	967686600	967686940	340
435	967688466	967689065	599
436	967690004	967690086	82
437	967690231	967690700	469
438	967690715	967690720	5
439	967690735	967690879	144
440	967691342	967691731	389
441	967691736	967691804	68
442	967692090	967692476	386
443	967692483	967692568	85
444	967692860	967693142	282
445	967693236	967693303	67
446	967693463	967693729	266
447	967696837	967697421	584
448	967697429	967697941	512
449	967697956	967701051	3095
450	967701240	967701242	2
451	967701675	967701946	271
452	967702347	967702976	629
453	967702982	967703491	509
454	967703506	967742059	38553
455	967742418	967743854	1436
456	967744187	967745981	1794
457	967746313	967747743	1430
458	967747922	967748400	478
459	967748415	967748434	19
460	967748449	967748976	527
461	967748991	967759426	10435
462	967759759	967760022	263
463	967760487	967761144	657
464	967761161	967761741	580
465	967761756	967766510	4754
466	967767005	967767525	520
467	967767531	967768037	506
468	967768052	967816851	48799
469	967816962	967816973	11
470	967817283	967818873	1590
471	967818880	967819391	511
472	967819406	967827264	7858
473	967827656	967828295	639
474	967828303	967828817	514
475	967828832	967832891	4059
476	967833327	967833861	534
477	967833866	967834374	508
478	967834389	967835601	1212
479	967835818	967836107	289
480	967836207	967836757	550
481	967836765	967837281	516
482	967837296	967845886	8590
483	967846013	967846025	12
484	967846069	967846437	368
485	967846584	967847473	889
486	967847480	967847992	512
487	967848007	967850694	2687
488	967851708	967852636	928
489	967852642	967853154	512
490	967853169	967877883	24714
491	967878023	967878091	68
492	967878131	967878398	267
493	967878580	967879213	633
494	967879240	967879749	509
495	967879764	967885450	5686
496	967885658	967885753	95
497	967886313	967886957	644
498	967886963	967887472	509
499	967887487	967887655	168
500	967888091	967888562	471
501	967888567	967889080	513
502	967889095	967889484	389
503	967889676	967889936	260
504	967890318	967890913	595
505	967890918	967891427	509
506	967891442	967893501	2059
507	967893650	967893733	83
508	967893844	967894115	271
509	967894189	967894766	577
510	967894771	967895280	509
511	967895295	967895819	524
512	967895988	967896252	264
513	967896412	967896923	511
514	967896928	967897440	512
515	967897455	967899003	1548
516	967899100	967899509	409
517	967899515	967899538	23
518	967899615	967899682	67
519	967899731	967899774	43
520	967899821	967899880	59
521	967900659	967901107	448
522	967901112	967901420	308
523	967901926	967902370	444
524	967902375	967902882	507
525	967902897	967905720	2823
526	967908490	967908534	44
527	967908641	967909864	1223
528	967910781	967910930	149
529	967911397	967911438	41
530	967915288	967915356	68
531	967915410	967915451	41
532	967915519	967915560	41
533	967915669	967915708	39
534	967915742	967915766	24
535	967915852	967916054	202
536	967916083	967916090	7
537	967916120	967916162	42
538	967916358	967916392	34
539	967916417	967917174	757
540	967917228	967917513	285
541	967917979	967918959	980
542	967923466	967923767	301
543	967925477	967927779	2302
544	967927794	967927922	128
545	967927937	967928535	598
546	967928550	967931453	2903
547	967931773	967931777	4
548	967932482	967932485	3
549	967933249	967933898	649
550	967933905	967934174	269
551	967934333	967934396	63
552	967934473	967934858	385
553	967934864	967935370	506
554	967935385	967935391	6
555	967935747	967936055	308
556	967936170	967936851	681
557	967936866	967936930	64
558	967936945	967937453	508
559	967937468	967938571	1103
560	967939762	967940424	662
561	967940439	967940469	30
562	967940484	967940994	510
563	967941009	967944204	3195
564	967944674	967944675	1
565	967944757	967944758	1
566	967945089	967945666	577
567	967945672	967946183	511
568	967946198	967951136	4938
569	967951226	967951479	253
570	967951644	967952326	682
571	967952331	967952842	511
572	967952857	967981893	29036
573	967982026	967982711	685
574	967982716	967983228	512
575	967983243	968004043	20800
576	968004144	968004608	464
577	968004614	968005128	514
578	968005143	968017235	12092
579	968017500	968018306	806
580	968018311	968018503	192
581	968018612	968018643	31
582	968018844	968019412	568
583	968019428	968019998	570
584	968020013	968029046	9033
585	968029165	968029429	264
586	968030080	968030627	547
587	968030642	968030733	91
588	968030748	968031259	511
589	968031274	968032019	745
590	968032151	968032424	273
591	968032579	968032901	322
592	968033084	968034360	1276
593	968034367	968034881	514
594	968034896	968037542	2646
595	968038415	968038783	368
596	968039088	968039677	589
597	968040616	968041296	680
598	968041301	968041812	511
599	968041827	968042464	637
600	968042622	968042687	65
601	968042789	968043136	347
602	968043301	968043362	61
603	968043647	968044331	684
604	968044484	968044648	164
605	968044784	968045493	709
606	968045652	968045742	90
607	968045896	968046134	238
608	968046275	968046873	598
609	968046973	968047620	647
610	968047635	968047641	6
611	968047656	968048222	566
612	968048237	968057513	9276
613	968057897	968058454	557
614	968058459	968058972	513
615	968058987	968059505	518
616	968059615	968059892	277
617	968060530	968060573	43
618	968060665	968060711	46
619	968060768	968061854	1086
620	968061860	968062371	511
621	968062386	968067415	5029
622	968067617	968069023	1406
623	968069168	968069751	583
624	968069757	968069798	41
625	968069853	968069931	78
626	968071167	968072685	1518
627	968072692	968073203	511
628	968073218	968076658	3440
629	968077202	968077907	705
630	968077912	968078311	399
631	968078504	968078562	58
632	968079108	968079171	63
633	968079381	968079405	24
634	968079532	968079587	55
635	968079695	968079737	42
636	968080159	968080625	466
637	968080632	968081145	513
638	968081160	968081501	341
639	968081874	968081880	6
640	968082019	968083056	1037
641	968085152	968085153	1
642	968085450	968085540	90
643	968085869	968085956	87
644	968086927	968087752	825
645	968087767	968087771	4
646	968087786	968088299	513
647	968088314	968089475	1161
648	968090375	968090923	548
649	968090952	968091468	516
650	968091483	968091623	140
651	968091882	968092153	271
652	968092272	968092333	61
653	968092416	968092478	62
654	968092607	968092668	61
655	968092756	968092784	28
656	968093048	968093111	63
657	968094086	968094103	17
658	968095116	968095192	76
659	968095225	968095240	15
660	968095266	968095292	26
661	968095434	968096727	1293
662	968096741	968097257	516
663	968097272	968099336	2064
664	968099642	968099899	257
665	968100093	968100551	458
666	968100556	968101069	513
667	968101084	968106397	5313
668	968115298	968115822	524
669	968115837	968115844	7
670	968115859	968116373	514
671	968116388	968118045	1657
672	968119453	968120225	772
673	968120232	968120747	515
674	968120762	968174438	53676
675	968174527	968175480	953
676	968175485	968176003	518
677	968176018	968188821	12803
678	968188914	968188923	9
679	968189052	968189576	524
680	968189581	968190094	513
681	968190109	968230976	40867
682	968231083	968231348	265
683	968231507	968231966	459
684	968231972	968232488	516
685	968232503	968267921	35418
686	968268112	968278307	10195
687	968278326	968278904	578
688	968278919	968284264	5345
689	968284466	968284718	252
690	968284806	968285504	698
691	968285514	968286026	512
692	968286041	968287035	994
693	968287141	968287143	2
694	968287378	968292778	5400
695	968292784	968293296	512
696	968293311	968312908	19597
697	968313339	968313942	603
698	968313948	968314463	515
699	968314478	968357520	43042
700	968357864	968357887	23
701	968358077	968358263	186
702	968358475	968358503	28
703	968358730	968358869	139
704	968359162	968365292	6130
705	968365308	968365387	79
706	968365696	968366124	428
707	968366129	968366642	513
708	968366657	968370494	3837
709	968371031	968371277	246
710	968371715	968378417	6702
711	968378423	968378938	515
712	968378953	968381175	2222
713	968381756	968382348	592
714	968382354	968382867	513
715	968382882	968392740	9858
716	968392896	968393541	645
717	968393556	968394133	577
718	968394148	968398040	3892
719	968398282	968398776	494
720	968398783	968399297	514
721	968399312	968442004	42692
722	968442029	968442040	11
723	968442056	968459007	16951
724	968459022	968460036	1014
725	968460106	968460107	1
726	968461011	968461164	153
727	968461325	968462033	708
728	968462044	968462556	512
729	968462571	968463974	1403
730	968465408	968465982	574
731	968466037	968466112	75
732	968466471	968466611	140
733	968466746	968466747	1
734	968466859	968466933	74
735	968466974	968467046	72
736	968467114	968467785	671
737	968467807	968468319	512
738	968468334	968489489	21155
739	968489687	968490183	496
740	968490190	968490701	511
741	968490716	968492370	1654
742	968492803	968493358	555
743	968493365	968493688	323
744	968493813	968494214	401
745	968494220	968494737	517
746	968494752	968495253	501
747	968495429	968495864	435
748	968495869	968496294	425
749	968496560	968496976	416
750	968497259	968497287	28
751	968497679	968497986	307
752	968498265	968498763	498
753	968498857	968498921	64
754	968499005	968499266	261
755	968499531	968499950	419
756	968500180	968500507	327
757	968500873	968501464	591
758	968501470	968501485	15
759	968501664	968501993	329
760	968502195	968502857	662
761	968502862	968502887	25
762	968503078	968503453	375
763	968503528	968504504	976
764	968504510	968504531	21
765	968504647	968505029	382
766	968505034	968505219	185
767	968505516	968505902	386
768	968505907	968506027	120
769	968506240	968506725	485
770	968506730	968507241	511
771	968507256	968508758	1502
772	968509252	968509644	392
773	968509984	968510416	432
774	968510590	968510653	63
775	968510707	968510770	63
776	968510916	968510978	62
777	968511260	968511850	590
778	968511943	968511968	25
779	968516606	968516740	134
780	968516838	968517030	192
781	968517429	968519061	1632
782	968519076	968519103	27
783	968519988	968520252	264
784	968525343	968525429	86
785	968525911	968525917	6
786	968526029	968526035	6
787	968527124	968527586	462
788	968527596	968528121	525
789	968528136	968528718	582
790	968529907	968530441	534
791	968530447	968530965	518
792	968530980	968531312	332
793	968531475	968531476	1
794	968531504	968531506	2
795	968531645	968531914	269
796	968532202	968532910	708
797	968532916	968533437	521
798	968533452	968533635	183
799	968533809	968534075	266
800	968534183	968534751	568
801	968534757	968535274	517
802	968535289	968537214	1925
803	968537315	968538255	940
804	968540232	968540306	74
805	968540342	968540887	545
806	968540894	968541255	361
807	968541448	968541881	433
808	968542402	968542831	429
809	968542984	968543138	154
810	968543839	968543843	4
811	968543947	968543963	16
812	968544424	968545198	774
813	968545389	968545392	3
814	968545509	968545513	4
815	968545601	968545683	82
816	968545940	968546208	268
