# seg	start		stop		duration
0 966384155		966384156	1
1 966384200		966384241	41
2 966384279		966384280	1
3 966384571		966384574	3
4 966384787		966384789	2
5 966384800		966384804	4
6 966384808		966384809	1
7 966384810		966384817	7
8 966384863		966384864	1
9 966384882		966384885	3
10			966385090	966385092	2
11			966385267	966385269	2
12			966385305	966385308	3
13			966385331	966385335	4
14			966385568	966385569	1
15			966385819	966385821	2
16			966386375	966386376	1
17			966386378	966386379	1
18			966386389	966386391	2
19			966386622	966386625	3
20			966387269	966387270	1
21			966387472	966387475	3
22			966388619	966388621	2
23			966388690	966388691	1
24			966388855	966388856	1
25			966388922	966388924	2
26			966390470	966390475	5
27			966390483	966390487	4
28			966390537	966390541	4
29			966390708	966390709	1
30			966391052	966391055	3
31			966391120	966391123	3
32			966391202	966391205	3
33			966391253	966391254	1
34			966391279	966391280	1
35			966392146	966392148	2
36			966392438	966392439	1
37			966394847	966394848	1
38			966395574	966395576	2
39			966395882	966395883	1
40			966397283	966397284	1
41			966397769	966397770	1
42			966398361	966398365	4
43			966398373	966398378	5
44			966398455	966398456	1
45			966398683	966398684	1
46			966398979	966398980	1
47			966399151	966399157	6
48			966399485	966399488	3
49			966400947	966400948	1
50			966401033	966401034	1
51			966401085	966401169	84
52			966401561	966401582	21
53			966401817	966401818	1
54			966401914	966401927	13
55			966401943	966401953	10
56			966401956	966401963	7
57			966401993	966401996	3
58			966402017	966402029	12
59			966402031	966402041	10
60			966402059	966402068	9
61			966402070	966402077	7
62			966402122	966402123	1
63			966402580	966402583	3
64			966402817	966402820	3
65			966402964	966402965	1
66			966403001	966403003	2
67			966403007	966403009	2
68			966403143	966403147	4
69			966403314	966403315	1
70			966404337	966404342	5
71			966404570	966404591	21
72			966404654	966404657	3
73			966405043	966405044	1
74			966405347	966405348	1
75			966405581	966405584	3
76			966405587	966405601	14
77			966405606	966405614	8
78			966405615	966405665	50
79			966405677	966405682	5
80			966405684	966405689	5
81			966405700	966405719	19
82			966405731	966405737	6
83			966405738	966405764	26
84			966405774	966405778	4
85			966406787	966406790	3
86			966407714	966407719	5
87			966407723	966407726	3
88			966407760	966407764	4
89			966407765	966407768	3
90			966407769	966407773	4
91			966408249	966408250	1
92			966408421	966408422	1
93			966408468	966408472	4
94			966408473	966408476	3
95			966408554	966408556	2
96			966408790	966408793	3
97			966408795	966408804	9
98			966408805	966408959	154
99			966408961	966408964	3
100			966408966	966408969	3
101			966409495	966409496	1
102			966409649	966409650	1
103			966409708	966409709	1
104			966410007	966410009	2
105			966410012	966410014	2
106			966410031	966410036	5
107			966410065	966410066	1
108			966410155	966410177	22
109			966410280	966410285	5
110			966410332	966410333	1
111			966410657	966410658	1
112			966410692	966410693	1
113			966410696	966410701	5
114			966410748	966410754	6
115			966410758	966410762	4
116			966410763	966410765	2
117			966410817	966410819	2
118			966411323	966411326	3
119			966411335	966411336	1
120			966411341	966411344	3
121			966411350	966411353	3
122			966411369	966411376	7
123			966411412	966411414	2
124			966411416	966411417	1
125			966411420	966411434	14
126			966411447	966411454	7
127			966411455	966411461	6
128			966411626	966411627	1
129			966411739	966411746	7
130			966411748	966411749	1
131			966411805	966411811	6
132			966411902	966411903	1
133			966412045	966412046	1
134			966412106	966412108	2
135			966412412	966412413	1
136			966412628	966412629	1
137			966412863	966412885	22
138			966413054	966413055	1
139			966413224	966413234	10
140			966413315	966413316	1
141			966414039	966414040	1
142			966414494	966414495	1
143			966414737	966414738	1
144			966414786	966414787	1
145			966414813	966414814	1
146			966415112	966415114	2
147			966415485	966415568	83
148			966415816	966415818	2
149			966416007	966416009	2
150			966417354	966417358	4
151			966417371	966417380	9
152			966417387	966417388	1
153			966417389	966417402	13
154			966417412	966417414	2
155			966417415	966417417	2
156			966417429	966417435	6
157			966417436	966417437	1
158			966417874	966417875	1
159			966418030	966418031	1
160			966418154	966418157	3
161			966418323	966418324	1
162			966418960	966418962	2
163			966419038	966419039	1
164			966419059	966419060	1
165			966419243	966419244	1
166			966419435	966419436	1
167			966420049	966420067	18
168			966420068	966420082	14
169			966420357	966420360	3
170			966420475	966420558	83
171			966420618	966420620	2
172			966420960	966420965	5
173			966421102	966421103	1
174			966421267	966421268	1
175			966421285	966421287	2
176			966421441	966421442	1
177			966421483	966421484	1
178			966421547	966421548	1
179			966421691	966421692	1
180			966421988	966421990	2
181			966422006	966422008	2
182			966422209	966422210	1
183			966422260	966422261	1
184			966422322	966422323	1
185			966422507	966422508	1
186			966423292	966423293	1
187			966423849	966423850	1
188			966424005	966424006	1
189			966424017	966424018	1
190			966424597	966424599	2
191			966424609	966424610	1
192			966424618	966424619	1
193			966424801	966424802	1
