Dataset	Detector	GPS	dopplerX	dopplerY	dopplerZ	R1598	R1599	R1600	R1601	R1602	I1598	I1599	I1600	I1601	I1602	P1598	P1599	P1600	P1601	P1602
H1_395_415	LHO	856999996	-3.14532e-05	-8.65571e-05	-3.79002e-05	-1.76912e-23	-9.77954e-24	2.42451e-23	-2.36667e-23	1.20633e-23	4.24044e-23	-2.23108e-23	-4.03317e-23	5.27058e-23	-4.8838e-23	2.11111e-45	5.93412e-46	2.21447e-45	3.33801e-45	2.53068e-45
H1_395_415	LHO	856999998	-3.14533e-05	-8.65572e-05	-3.79002e-05	-6.38981e-23	6.61386e-23	-9.77024e-24	-8.78827e-24	5.90705e-24	2.59911e-23	1.18164e-23	-3.20578e-23	4.68099e-23	-5.58098e-23	4.7585e-45	4.51395e-45	1.12316e-45	2.2684e-45	3.14963e-45
H1_395_415	LHO	857000000	-3.14534e-05	-8.65573e-05	-3.79002e-05	-5.16992e-23	2.56802e-23	-2.33374e-23	3.1139e-23	1.81831e-24	-8.13739e-24	1.06397e-23	5.17114e-24	-1.18769e-23	-5.35651e-24	2.73903e-45	7.72677e-46	5.71377e-46	1.1107e-45	3.19984e-47
H1_395_415	LHO	857000002	-3.14535e-05	-8.65574e-05	-3.79002e-05	1.06096e-24	-2.31501e-23	3.73985e-23	-3.48821e-23	4.03621e-23	-7.73208e-24	-2.84652e-24	-1.57182e-23	6.75253e-24	3.28364e-23	6.09106e-47	5.4403e-46	1.64571e-45	1.26236e-45	2.70733e-45
H1_395_415	LHO	857000004	-3.14536e-05	-8.65575e-05	-3.79002e-05	-1.51174e-23	1.46251e-23	2.69445e-24	7.81008e-24	-3.16355e-23	9.948e-24	1.04668e-23	-4.7971e-24	-1.96068e-23	3.47885e-23	3.27498e-46	3.23448e-46	3.02722e-47	4.45423e-46	2.21104e-45
H1_395_415	LHO	857000006	-3.14537e-05	-8.65576e-05	-3.79002e-05	1.53923e-24	-1.85437e-23	3.55169e-23	-2.50769e-23	-1.74166e-23	4.51573e-23	-7.12835e-23	6.54237e-23	-5.13161e-23	3.67178e-23	2.04156e-45	5.42521e-45	5.54171e-45	3.2622e-45	1.65154e-45
H1_395_415	LHO	857000008	-3.14538e-05	-8.65577e-05	-3.79002e-05	-2.76296e-23	6.31295e-24	-2.61147e-23	3.78225e-23	-2.28149e-23	2.69349e-23	3.79086e-23	-3.66501e-23	2.09431e-23	-3.27162e-23	1.48888e-45	1.47692e-45	2.02521e-45	1.86915e-45	1.59087e-45
H1_395_415	LHO	857000010	-3.14539e-05	-8.65578e-05	-3.79002e-05	4.82265e-23	2.8482e-23	-4.38693e-23	-4.19027e-24	3.87587e-23	1.63254e-23	-1.01023e-23	-6.05015e-24	1.1155e-23	-3.80849e-23	2.59232e-45	9.13282e-46	1.96112e-45	1.41993e-46	2.9527e-45
H1_395_415	LHO	857000012	-3.14539e-05	-8.65579e-05	-3.79002e-05	-1.85734e-24	8.58348e-24	-1.72846e-23	-1.0231e-23	2.86707e-23	-1.54679e-23	-5.85555e-24	7.34004e-24	2.43286e-23	-2.86856e-23	2.42704e-46	1.07964e-46	3.52634e-46	6.96554e-46	1.64487e-45
H1_395_415	LHO	857000014	-3.1454e-05	-8.6558e-05	-3.79002e-05	1.243e-23	-2.27549e-23	6.3412e-24	1.77859e-23	-8.62006e-24	-1.63952e-23	-3.05624e-24	8.65067e-24	-8.0575e-24	2.31773e-23	4.23307e-46	5.27125e-46	1.15045e-46	3.81262e-46	6.11492e-46
H1_395_415	LHO	857000016	-3.14541e-05	-8.65581e-05	-3.79002e-05	3.83904e-23	-2.64682e-23	2.54725e-23	-4.08672e-23	4.26561e-23	-1.44064e-24	7.59952e-24	1.20182e-23	-4.8183e-23	4.45467e-23	1.4759e-45	7.5832e-46	7.93283e-46	3.99173e-45	3.80396e-45
H1_395_415	LHO	857000018	-3.14542e-05	-8.65582e-05	-3.79002e-05	-1.14975e-23	-1.07948e-23	2.82323e-23	-4.85555e-23	5.6581e-23	3.11338e-23	-4.14188e-23	7.1412e-24	2.50201e-23	-1.41377e-23	1.10151e-45	1.83204e-45	8.48059e-46	2.98364e-45	3.40129e-45
H1_395_415	LHO	857000020	-3.14543e-05	-8.65583e-05	-3.79002e-05	-3.12534e-23	-2.18621e-23	7.55135e-23	-6.91988e-23	4.73085e-23	2.47501e-23	-2.12459e-23	8.2818e-24	1.91065e-23	-2.86229e-23	1.58934e-45	9.29338e-46	5.77087e-45	5.15353e-45	3.05736e-45
H1_395_415	LHO	857000022	-3.14544e-05	-8.65584e-05	-3.79003e-05	-3.62196e-23	2.45847e-23	-1.17362e-23	3.3411e-23	-3.43331e-23	1.81224e-23	2.54709e-24	1.98498e-23	-2.34657e-23	1.22076e-23	1.64028e-45	6.10893e-46	5.31754e-46	1.66693e-45	1.32779e-45
H1_395_415	LHO	857000024	-3.14545e-05	-8.65585e-05	-3.79003e-05	-2.18808e-23	5.41318e-23	-4.96711e-23	3.3063e-23	-4.94788e-23	1.89154e-23	-3.3006e-23	5.54992e-23	-3.06741e-23	-1.41124e-23	8.36563e-46	4.01964e-45	5.54738e-45	2.03406e-45	2.64731e-45
H1_395_415	LHO	857000026	-3.14546e-05	-8.65586e-05	-3.79003e-05	1.3514e-23	-1.18166e-23	-1.66453e-25	2.30903e-25	-1.24334e-23	-2.54466e-23	-1.31723e-23	4.07685e-23	1.26519e-23	-5.77294e-23	8.30159e-46	3.13143e-46	1.6621e-45	1.60123e-46	3.48727e-45
H1_395_415	LHO	857000028	-3.14547e-05	-8.65587e-05	-3.79003e-05	-1.78217e-23	2.14745e-23	-2.98907e-23	3.32928e-23	6.15725e-24	-3.78821e-23	5.30653e-24	2.18745e-23	4.93135e-24	-4.00589e-23	1.75267e-45	4.89311e-46	1.37195e-45	1.13273e-45	1.64262e-45
H1_395_415	LHO	857000030	-3.14547e-05	-8.65588e-05	-3.79003e-05	2.24929e-24	-4.25858e-23	1.79382e-23	8.5346e-24	8.63265e-25	5.1243e-24	1.41512e-23	-3.52715e-23	3.15088e-23	-2.178e-23	3.13177e-47	2.01381e-45	1.56586e-45	1.06565e-45	4.75112e-46
H1_395_415	LHO	857000032	-3.14548e-05	-8.65589e-05	-3.79003e-05	-1.20807e-23	1.84669e-23	1.55855e-23	-2.51412e-23	-4.05318e-24	3.69936e-23	-1.1353e-23	-2.35639e-23	2.09659e-23	4.48354e-24	1.51447e-45	4.69916e-46	7.98166e-46	1.07165e-45	3.65304e-47
H1_395_415	LHO	857000034	-3.14549e-05	-8.6559e-05	-3.79003e-05	-1.26538e-23	2.52764e-23	-1.67078e-23	1.27839e-24	3.93649e-24	-9.84059e-24	1.43789e-23	1.21708e-23	-1.71439e-23	-3.44376e-23	2.56955e-46	8.45648e-46	4.27279e-46	2.95548e-46	1.20144e-45
H1_395_415	LHO	857000036	-3.1455e-05	-8.65591e-05	-3.79003e-05	2.61983e-23	-8.39848e-24	-4.74407e-24	-1.56932e-23	3.07862e-23	-1.03873e-23	-5.2075e-24	1.43064e-23	1.92611e-23	-2.04935e-23	7.94249e-46	9.76525e-47	2.27181e-46	6.17267e-46	1.36778e-45
H1_395_415	LHO	857000038	-3.14551e-05	-8.65592e-05	-3.79003e-05	-9.3125e-24	-2.35925e-24	-9.87377e-24	1.56683e-23	1.12813e-23	2.06717e-23	-4.66271e-23	4.6993e-23	-2.74208e-23	4.64827e-25	5.14041e-46	2.17966e-45	2.30583e-45	9.97394e-46	1.27483e-46
H1_395_415	LHO	857000040	-3.14552e-05	-8.65593e-05	-3.79003e-05	-5.74431e-23	3.59545e-23	-2.9295e-23	7.87536e-24	-1.25556e-23	2.63759e-23	6.98961e-24	-1.55988e-23	2.24649e-23	-3.99885e-23	3.99539e-45	1.34158e-45	1.10152e-45	5.66693e-46	1.75672e-45
H1_395_415	LHO	857000042	-3.14553e-05	-8.65594e-05	-3.79003e-05	-1.55107e-23	3.69686e-23	-4.23198e-23	5.44239e-23	-4.17571e-23	5.23196e-23	-3.86246e-23	4.22273e-24	2.62938e-23	-6.31488e-24	2.97792e-45	2.85854e-45	1.80879e-45	3.65332e-45	1.78353e-45
H1_395_415	LHO	857000044	-3.14554e-05	-8.65595e-05	-3.79003e-05	-8.19773e-24	1.84813e-23	-1.28691e-23	6.64097e-24	1.1748e-25	-3.67594e-23	2.66504e-23	4.89412e-24	-3.95484e-23	3.8596e-24	1.41846e-45	1.0518e-45	1.89567e-46	1.60818e-45	1.49103e-47
H1_395_415	LHO	857000046	-3.14555e-05	-8.65596e-05	-3.79003e-05	2.19406e-24	7.31681e-25	8.78977e-24	-3.48639e-23	3.0534e-23	-4.55988e-23	1.77252e-23	-3.55853e-24	1.32997e-23	2.90873e-23	2.08407e-45	3.14718e-46	8.99233e-47	1.39238e-45	1.7784e-45
H1_395_415	LHO	857000048	-3.14555e-05	-8.65597e-05	-3.79003e-05	1.98432e-23	-2.22504e-23	9.48397e-24	-5.7331e-24	4.44328e-24	-6.06156e-23	4.43513e-23	-1.08473e-23	1.32405e-23	-4.05383e-23	4.068e-45	2.46212e-45	2.07609e-46	2.0818e-46	1.6631e-45
H1_395_415	LHO	857000050	-3.14556e-05	-8.65598e-05	-3.79003e-05	3.25316e-23	-4.13136e-23	3.99172e-23	-3.95818e-23	5.54287e-23	4.74928e-23	-5.46041e-23	4.16461e-23	-9.5196e-24	2.75082e-24	3.31387e-45	4.68842e-45	3.32778e-45	1.65734e-45	3.07991e-45
H1_395_415	LHO	857000052	-3.14557e-05	-8.656e-05	-3.79003e-05	-3.73846e-23	2.71869e-23	-2.77281e-23	2.64269e-23	-2.20515e-23	-2.87502e-23	2.1317e-23	-1.75822e-24	-1.7522e-23	1.18749e-24	2.22418e-45	1.19354e-45	7.7194e-46	1.0054e-45	4.87678e-46
H1_395_415	LHO	857000054	-3.14558e-05	-8.65601e-05	-3.79003e-05	-7.21675e-24	6.82372e-25	5.23441e-24	-1.69954e-23	2.96315e-23	1.98899e-23	-4.6163e-24	-2.11786e-23	4.1284e-23	-1.99041e-23	4.47691e-46	2.17758e-47	4.75933e-46	1.99321e-45	1.2742e-45
H1_395_415	LHO	857000056	-3.14559e-05	-8.65602e-05	-3.79003e-05	1.36348e-23	-1.76684e-23	2.52862e-23	8.027e-24	-3.25079e-23	-1.80981e-23	1.53025e-23	-3.3543e-23	4.17216e-23	-4.16719e-23	5.13449e-46	5.46339e-46	1.76453e-45	1.80513e-45	2.79331e-45
H1_395_415	LHO	857000058	-3.1456e-05	-8.65603e-05	-3.79003e-05	-2.08557e-23	-4.56627e-23	7.57188e-23	-4.60836e-23	5.52757e-24	4.0254e-23	-2.31367e-23	-6.20101e-24	4.97343e-24	-1.50883e-23	2.05534e-45	2.62039e-45	5.77179e-45	2.14844e-45	2.5821e-46
H1_395_415	LHO	857000060	-3.14561e-05	-8.65604e-05	-3.79003e-05	-2.45804e-23	5.20637e-24	2.5675e-23	-1.30591e-23	1.44877e-23	9.29466e-23	-1.26391e-23	-2.89883e-23	3.00635e-23	-3.05653e-23	9.24326e-45	1.86853e-46	1.49952e-45	1.07435e-45	1.14413e-45
H1_395_415	LHO	857000062	-3.14562e-05	-8.65605e-05	-3.79003e-05	1.89593e-23	-4.58472e-24	2.80332e-23	-3.54961e-23	3.78718e-23	-2.89873e-23	1.34195e-23	-1.31498e-23	-5.28256e-24	-1.46947e-24	1.19972e-45	2.01102e-46	9.58779e-46	1.28788e-45	1.43643e-45
H1_395_415	LHO	857000064	-3.14563e-05	-8.65606e-05	-3.79004e-05	-3.06161e-23	5.94802e-24	1.14943e-23	-3.94241e-23	2.39702e-23	-2.51656e-23	3.67641e-23	-2.52067e-23	3.49956e-23	-5.30909e-23	1.57065e-45	1.38698e-45	7.67498e-46	2.77896e-45	3.39322e-45
H1_395_415	LHO	857000066	-3.14563e-05	-8.65607e-05	-3.79004e-05	4.58978e-24	4.35352e-23	-4.81334e-23	1.23859e-23	2.54901e-23	5.68251e-24	-2.54794e-23	6.12254e-23	-2.99705e-23	-2.97157e-24	5.3357e-47	2.54451e-45	6.06538e-45	1.05164e-45	6.58573e-46
H1_395_415	LHO	857000068	-3.14564e-05	-8.65608e-05	-3.79004e-05	3.99264e-23	-5.54675e-23	8.17574e-24	2.97305e-23	-2.40621e-23	1.58588e-23	-3.82e-23	2.35141e-23	2.23364e-23	-2.5119e-23	1.84562e-45	4.53589e-45	6.19757e-46	1.38282e-45	1.20995e-45
H1_395_415	LHO	857000070	-3.14565e-05	-8.65609e-05	-3.79004e-05	-1.55544e-23	2.53928e-23	-9.60427e-24	1.77339e-24	-2.56644e-23	4.71281e-24	1.375e-23	-3.84759e-24	-2.21989e-24	-1.42579e-23	2.64151e-46	8.33853e-46	1.07046e-46	8.07282e-48	8.61947e-46
H1_395_415	LHO	857000072	-3.14566e-05	-8.6561e-05	-3.79004e-05	6.11878e-25	1.57119e-23	-7.36081e-24	1.04935e-23	-5.93614e-24	-1.11065e-23	-3.07662e-23	3.2175e-23	1.23221e-23	-4.81889e-23	1.23729e-46	1.19342e-45	1.08941e-45	2.61948e-46	2.35741e-45
H1_395_415	LHO	857000074	-3.14567e-05	-8.65611e-05	-3.79004e-05	2.87689e-23	-5.6695e-23	6.84458e-23	-4.87032e-23	-2.40251e-24	1.88878e-23	-1.8261e-23	4.84764e-23	-1.90809e-23	-1.5928e-24	1.1844e-45	3.54778e-45	7.03479e-45	2.73608e-45	8.30904e-48
H1_395_415	LHO	857000076	-3.14568e-05	-8.65612e-05	-3.79004e-05	1.44644e-23	-2.62683e-23	-2.00473e-23	8.50943e-23	-6.10457e-23	9.01507e-24	-1.60888e-23	5.35166e-24	-1.0147e-23	3.56547e-24	2.9049e-46	9.48873e-46	4.30533e-46	7.344e-45	3.7393e-45
H1_395_415	LHO	857000078	-3.14569e-05	-8.65613e-05	-3.79004e-05	-8.76716e-24	1.21193e-22	-2.25294e-23	-9.63073e-23	-1.317e-25	-8.91161e-23	4.95907e-23	3.45121e-23	3.65421e-24	-7.48885e-23	8.01855e-45	1.71469e-44	1.69866e-45	9.28846e-45	5.6083e-45
H1_395_415	LHO	857000080	-3.1457e-05	-8.65614e-05	-3.79004e-05	4.5621e-24	-7.40857e-23	-2.43557e-23	8.59251e-23	5.35767e-24	-5.38427e-23	-5.58035e-23	1.34488e-22	-3.05293e-23	-5.59141e-23	2.91985e-45	8.60271e-45	1.86802e-44	8.31516e-45	3.15509e-45
H1_395_415	LHO	857000082	-3.14571e-05	-8.65615e-05	-3.79004e-05	1.89375e-23	-3.1928e-23	2.52259e-23	-8.92556e-24	3.80828e-23	1.74472e-23	-1.42835e-23	-1.01677e-23	2.42394e-23	-3.24999e-23	6.63033e-46	1.22342e-45	7.39728e-46	6.67213e-46	2.50654e-45
H1_395_415	LHO	857000084	-3.14571e-05	-8.65616e-05	-3.79004e-05	-7.00354e-24	1.46789e-23	6.63632e-24	-1.74974e-23	-7.91393e-25	-3.91269e-23	6.37095e-23	-5.23074e-23	2.57652e-23	1.40072e-23	1.57997e-45	4.27438e-45	2.78011e-45	9.70004e-46	1.96827e-46
H1_395_415	LHO	857000086	-3.14572e-05	-8.65617e-05	-3.79004e-05	3.54453e-23	-4.01248e-23	1.95707e-24	4.49144e-23	-5.20057e-23	2.26338e-23	-1.97525e-23	1.01622e-24	-1.11058e-23	2.99089e-23	1.76866e-45	2.00016e-45	4.86283e-48	2.14064e-45	3.59914e-45
H1_395_415	LHO	857000088	-3.14573e-05	-8.65618e-05	-3.79004e-05	-3.15271e-24	3.10335e-23	1.05299e-23	-6.63741e-23	2.43682e-23	2.27925e-24	-1.13184e-23	4.3484e-23	-5.73453e-23	2.90028e-23	1.51346e-47	1.09118e-45	2.00173e-45	7.69401e-45	1.43498e-45
H1_395_415	LHO	857000090	-3.14574e-05	-8.65619e-05	-3.79004e-05	-1.14474e-23	-1.00257e-26	-2.36e-23	4.58354e-23	-3.12254e-24	3.31207e-23	-7.33105e-23	6.69797e-23	1.84087e-24	-2.46257e-23	1.22802e-45	5.37444e-45	5.04324e-45	2.10428e-45	6.16176e-46
H1_395_415	LHO	857000092	-3.14575e-05	-8.6562e-05	-3.79004e-05	3.23291e-23	-7.31906e-24	1.60131e-23	-4.74695e-24	-4.16733e-23	-5.47287e-24	1.35803e-23	2.06828e-23	-1.40257e-23	-2.37868e-23	1.07512e-45	2.37993e-46	6.84197e-46	2.19254e-46	2.30247e-45
H1_395_415	LHO	857000094	-3.14576e-05	-8.65621e-05	-3.79004e-05	2.9798e-23	-3.88264e-23	2.93464e-23	-1.67412e-23	2.2154e-23	-2.32501e-23	-3.57884e-23	6.36481e-23	-3.8723e-23	2.63363e-23	1.42849e-45	2.7883e-45	4.91229e-45	1.77974e-45	1.1844e-45
H1_395_415	LHO	857000096	-3.14577e-05	-8.65622e-05	-3.79004e-05	3.36857e-24	-1.34353e-23	-1.85772e-24	4.55587e-23	-6.6323e-23	-9.68054e-25	6.51819e-24	-1.14121e-23	1.93326e-23	-8.0642e-24	1.22844e-47	2.22993e-46	1.33687e-46	2.44934e-45	4.46377e-45
H1_395_415	LHO	857000098	-3.14578e-05	-8.65623e-05	-3.79004e-05	2.01009e-23	3.29464e-24	-1.45826e-23	1.87654e-23	-3.33216e-23	-1.25641e-23	4.9738e-23	-3.53696e-23	6.57863e-24	-1.27288e-23	5.61902e-46	2.48472e-45	1.46366e-45	3.95419e-46	1.27235e-45
H1_395_415	LHO	857000100	-3.14579e-05	-8.65624e-05	-3.79004e-05	8.20245e-24	2.05356e-23	-4.11478e-23	4.88756e-23	-6.10458e-23	-3.71866e-23	4.47425e-24	-1.33644e-23	3.07895e-23	-1.22497e-23	1.45013e-45	4.41731e-46	1.87175e-45	3.33682e-45	3.87664e-45
H1_395_415	LHO	857000102	-3.14579e-05	-8.65625e-05	-3.79004e-05	3.17973e-23	-9.85907e-24	-5.70738e-24	1.41793e-23	-2.11743e-23	-2.76591e-23	3.33162e-23	1.40838e-24	-1.17394e-23	-5.1031e-24	1.77609e-45	1.20717e-45	3.45578e-47	3.38867e-46	4.74392e-46
H1_395_415	LHO	857000104	-3.1458e-05	-8.65626e-05	-3.79004e-05	5.12283e-23	-3.18456e-23	-1.89851e-23	2.87235e-23	-2.06121e-23	5.66483e-24	-4.21733e-23	5.21279e-23	-5.8797e-23	4.77764e-23	2.65642e-45	2.79273e-45	3.07775e-45	4.28213e-45	2.70744e-45
H1_395_415	LHO	857000106	-3.14581e-05	-8.65627e-05	-3.79004e-05	-2.44328e-23	2.72513e-23	-5.58599e-23	6.41368e-23	-3.43385e-23	-4.50524e-25	2.42351e-23	-6.25781e-23	3.80049e-23	8.16151e-24	5.97166e-46	1.32998e-45	7.03634e-45	5.5579e-45	1.24574e-45
H1_395_415	LHO	857000108	-3.14582e-05	-8.65628e-05	-3.79005e-05	1.65418e-24	3.52696e-23	-1.38113e-23	-2.38246e-23	2.38576e-24	1.22447e-23	5.42499e-24	-7.61885e-24	-2.74973e-23	4.39705e-23	1.52669e-46	1.27338e-45	2.48799e-46	1.32371e-45	1.9391e-45
H1_395_415	LHO	857000110	-3.14583e-05	-8.65629e-05	-3.79005e-05	2.20391e-24	-1.98698e-23	2.06304e-23	-3.83544e-23	2.38951e-23	1.29255e-23	-1.06158e-23	4.19908e-24	3.8199e-23	-6.07337e-23	1.71926e-46	5.07506e-46	4.43245e-46	2.93022e-45	4.25956e-45
H1_395_415	LHO	857000112	-3.14584e-05	-8.6563e-05	-3.79005e-05	1.21274e-23	-2.50701e-24	-1.54411e-23	3.77543e-23	-4.34486e-24	2.22619e-23	-3.20616e-23	2.42407e-23	-3.87521e-24	-2.18958e-23	6.42664e-46	1.03423e-45	8.26038e-46	1.4404e-45	4.98304e-46
H1_395_415	LHO	857000114	-3.14585e-05	-8.65631e-05	-3.79005e-05	1.49366e-23	-1.48164e-24	3.25614e-23	-6.74427e-23	3.74858e-23	-1.62545e-23	1.91566e-23	3.56994e-24	1.00817e-23	-3.06604e-23	4.87309e-46	3.69172e-46	1.07299e-45	4.65016e-45	2.34525e-45
H1_395_415	LHO	857000116	-3.14586e-05	-8.65632e-05	-3.79005e-05	9.34021e-23	-8.91719e-23	3.75483e-23	-3.02549e-24	4.24231e-23	-3.84719e-23	2.30467e-23	-1.16606e-23	2.74249e-23	-4.60068e-23	1.0204e-44	8.48278e-45	1.54585e-45	7.6128e-46	3.91635e-45
H1_395_415	LHO	857000118	-3.14587e-05	-8.65633e-05	-3.79005e-05	9.66649e-24	-3.08191e-23	3.41613e-23	-2.57165e-23	2.93385e-23	2.14043e-23	-1.15087e-23	-2.99628e-23	1.62069e-23	2.10317e-23	5.51587e-46	1.08227e-45	2.06477e-45	9.24004e-46	1.30308e-45
H1_395_415	LHO	857000120	-3.14587e-05	-8.65634e-05	-3.79005e-05	-4.37915e-24	-1.0648e-24	1.86338e-23	-4.29126e-23	1.61789e-23	-1.08824e-23	4.91629e-23	-4.29384e-23	5.03649e-25	7.82569e-24	1.37604e-46	2.41813e-45	2.19092e-45	1.84175e-45	3.22997e-46
H1_395_415	LHO	857000122	-3.14588e-05	-8.65635e-05	-3.79005e-05	1.03879e-23	-4.59395e-24	-2.64293e-23	3.90652e-23	-5.15125e-24	2.54732e-23	-9.59588e-24	-4.48426e-23	5.56229e-23	-4.10568e-23	7.56791e-46	1.13185e-46	2.70937e-45	4.61999e-45	1.7122e-45
H1_395_415	LHO	857000124	-3.14589e-05	-8.65636e-05	-3.79005e-05	-3.24716e-23	4.90944e-23	-1.71952e-23	-2.41519e-23	2.27975e-23	8.19065e-24	1.73742e-23	-1.95015e-23	-8.51575e-24	7.90299e-24	1.12149e-45	2.71212e-45	6.75986e-46	6.55834e-46	5.82185e-46
H1_395_415	LHO	857000126	-3.1459e-05	-8.65637e-05	-3.79005e-05	4.14106e-23	-2.56101e-23	1.68884e-23	-2.92447e-23	6.02588e-23	-4.89463e-24	-4.21321e-24	5.6759e-24	8.21218e-24	-1.06684e-23	1.73879e-45	6.73631e-46	3.17433e-46	9.22695e-46	3.74494e-45
H1_395_415	LHO	857000128	-3.14591e-05	-8.65638e-05	-3.79005e-05	-7.27665e-24	-1.32769e-23	4.79701e-24	-2.3005e-23	4.21495e-23	2.03003e-23	-1.77576e-23	3.16149e-23	-4.96134e-23	5.25139e-23	4.65054e-46	4.91609e-46	1.02251e-45	2.99072e-45	4.53429e-45
H1_395_415	LHO	857000130	-3.14592e-05	-8.65639e-05	-3.79005e-05	1.12458e-23	-2.406e-23	6.57904e-24	1.14572e-23	-1.31996e-23	5.40291e-23	-3.38296e-23	-2.61913e-23	3.83176e-23	5.6882e-25	3.04561e-45	1.72332e-45	7.29269e-46	1.59951e-45	1.74553e-46
H1_395_415	LHO	857000132	-3.14593e-05	-8.6564e-05	-3.79005e-05	-1.20898e-23	1.98355e-23	3.23472e-23	-4.12058e-23	1.24329e-23	3.64542e-23	-1.30965e-23	1.61861e-24	-1.24712e-23	2.63949e-23	1.47507e-45	5.64964e-46	1.04896e-45	1.85345e-45	8.51268e-46
H1_395_415	LHO	857000134	-3.14594e-05	-8.65641e-05	-3.79005e-05	4.2471e-23	-3.43536e-23	2.05658e-23	2.03598e-23	-4.65794e-23	-2.42941e-23	1.61617e-23	5.9717e-24	-9.79498e-24	8.61508e-24	2.39398e-45	1.44137e-45	4.58615e-46	5.10462e-46	2.24386e-45
H1_395_415	LHO	857000136	-3.14594e-05	-8.65642e-05	-3.79005e-05	-5.69463e-23	3.06443e-23	-3.17913e-23	5.06188e-23	-5.38211e-23	-1.75879e-23	4.66849e-24	-9.32603e-24	-6.5754e-24	8.5063e-24	3.55222e-45	9.60869e-46	1.09766e-45	2.6055e-45	2.96907e-45
H1_395_415	LHO	857000138	-3.14595e-05	-8.65643e-05	-3.79005e-05	-3.22358e-23	3.86831e-23	-1.10791e-23	-1.10825e-23	2.02616e-23	-1.4732e-23	2.05795e-23	-1.694e-23	-2.11237e-24	1.40689e-24	1.25618e-45	1.9199e-45	4.0971e-46	1.27283e-46	4.1251e-46
H1_395_415	LHO	857000140	-3.14596e-05	-8.65644e-05	-3.79005e-05	-4.07738e-23	6.12412e-25	-3.55941e-24	5.74872e-24	5.78043e-24	-1.64418e-23	1.23251e-23	-1.98185e-23	7.65233e-24	1.58007e-23	1.93283e-45	1.52284e-46	4.05444e-46	9.1606e-47	2.83076e-46
H1_395_415	LHO	857000142	-3.14597e-05	-8.65645e-05	-3.79005e-05	-4.22224e-23	5.2032e-23	-2.37232e-23	-2.20705e-23	2.91261e-23	3.79521e-24	1.89542e-23	-1.77383e-23	1.01764e-23	-3.06368e-23	1.79713e-45	3.06659e-45	8.77439e-46	5.90665e-46	1.78694e-45
H1_395_415	LHO	857000144	-3.14598e-05	-8.65646e-05	-3.79005e-05	-1.5507e-23	4.12987e-23	-4.02182e-23	1.92705e-23	-6.80743e-24	-1.57299e-24	-2.16423e-23	4.265e-23	-4.17328e-24	4.7199e-24	2.42941e-46	2.17397e-45	3.43653e-45	3.88768e-46	6.86186e-47
H1_395_415	LHO	857000146	-3.14599e-05	-8.65647e-05	-3.79005e-05	2.71636e-23	-7.8525e-23	4.09629e-23	2.57081e-23	-2.84622e-23	3.50926e-24	-2.75113e-23	1.51777e-23	-4.09145e-24	9.41129e-24	7.50177e-46	6.92305e-45	1.90832e-45	6.77647e-46	8.98671e-46
H1_395_415	LHO	857000148	-3.146e-05	-8.65648e-05	-3.79005e-05	-3.2527e-23	4.96098e-23	-8.25093e-24	-2.46162e-24	-3.5976e-23	5.8855e-24	1.98614e-23	-2.47583e-23	-1.49725e-24	3.70211e-24	1.09265e-45	2.8556e-45	6.8105e-46	8.30134e-48	1.30798e-45
H1_395_415	LHO	857000150	-3.14601e-05	-8.65649e-05	-3.79006e-05	2.42903e-23	-2.40408e-23	2.47349e-23	-1.3965e-23	2.75748e-23	-2.32751e-23	1.53163e-23	-9.37268e-24	1.18603e-23	-9.99981e-24	1.13175e-45	8.12551e-46	6.99663e-46	3.35689e-46	8.60367e-46
H1_395_415	LHO	857000152	-3.14602e-05	-8.6565e-05	-3.79006e-05	1.94568e-23	-4.60869e-23	4.57456e-23	-4.41487e-23	4.86835e-23	3.51053e-23	-1.71416e-23	1.60898e-23	-3.22268e-23	2.13808e-23	1.61095e-45	2.41783e-45	2.35154e-45	2.98768e-45	2.82722e-45
H1_395_415	LHO	857000154	-3.14602e-05	-8.65651e-05	-3.79006e-05	3.08311e-23	-1.79672e-23	4.19258e-23	-6.19274e-23	3.7249e-23	2.79032e-23	-4.17811e-23	3.43968e-23	-1.7097e-23	2.71884e-23	1.72915e-45	2.06848e-45	2.94092e-45	4.12731e-45	2.1267e-45
H1_395_415	LHO	857000156	-3.14603e-05	-8.65652e-05	-3.79006e-05	-2.83922e-23	1.58679e-23	2.4947e-23	-1.34449e-23	-1.28215e-23	-1.89484e-23	-1.89323e-23	3.88355e-23	1.63231e-23	-3.83322e-23	1.16516e-45	6.10222e-46	2.13054e-45	4.47207e-46	1.63375e-45
H1_395_415	LHO	857000158	-3.14604e-05	-8.65653e-05	-3.79006e-05	1.77634e-23	-1.3332e-23	-1.2518e-23	3.29627e-23	-1.62677e-23	-6.63404e-23	5.85766e-23	3.3737e-23	-5.52218e-23	4.89095e-24	4.71659e-45	3.60896e-45	1.29489e-45	4.13599e-45	2.88561e-46
H1_395_415	LHO	857000160	-3.14605e-05	-8.65655e-05	-3.79006e-05	1.13017e-23	6.33765e-24	-2.38128e-23	2.50622e-23	-3.65744e-23	-2.78022e-23	-4.02002e-23	3.59536e-23	1.38177e-23	9.19474e-24	9.0069e-46	1.65622e-45	1.85971e-45	8.19044e-46	1.42223e-45
