# Veto file created  Tue Jul 29 19:16:05 CDT 2008 by mab on antigone.Physics.Carleton.edu
# DQ segments info stored in VDB https://pub7.virgo.infn.it/VDB/main.php
####################################################################################
## NAME:	 COMBINED LIST: V1:BMS_FFV_BRMS_100_300HZ_4HZ[VSR1_V1]{0,0}+V1:BMS_FFV_HACR_39[VSR1_V1]{0,0}+V1:COIL_CAL_NEWE_SAT_10S[VSR1_V1]{0,0}+V1:COIL_NEWE_SAT_10S[VSR1_V1]{0,0}+V1:EARTHQUAKE[VSR1_V1]{0,0}+V1:EOL_QRATE[VSR1_V1]{0,0}+V1:GROUND_50HZ[VSR1_V1]{0,0}+V1:HREC_MISS_VH2[VSR1_V1]{-5,5}+V1:IBZ_BRMS_600_700HZ[VSR1_V1]{0,0}+V1:IBZ_BRMS_60_300HZ[VSR1_V1]{0,0}+V1:LC_LIGHT_NIWI[VSR1_V1]{0,0}+V1:MISSAMPLES[VSR1_V1]{0,0}+V1:POWER_STAB_OFF[VSR1_V1]{0,0}+V1:SEDETBREW_BRMS_60_250HZ[VSR1_V1]{0,0}+V1:SETOIN01_BRMS_60_250HZ[VSR1_V1]{0,0}+V1:SSFS_CORR_SAT[VSR1_V1]{0,0}#
## COVERAGE:	 2219182.00
####################################################################################
#INDEX	TIMESTART	TIMESTOP	DURATION #
164	863617757	863617758	1	
165	863618434	863618435	1	
166	863618574	863618576	2	
167	863618953	863618955	2	
168	863619382	863619384	2	
169	863620431	863620432	1	
170	863620453	863620454	1	
171	863620896	863620898	2	
172	863621803	863621804	1	
173	863621968	863621969	1	
174	863622287	863622288	1	
175	863622551	863622552	1	
176	863623043	863623045	2	
177	863623049	863623052	3	
178	863623064	863623066	2	
179	863623068	863623070	2	
180	863623074	863623076	2	
181	863623108	863623110	2	
182	863623166	863623168	2	
183	863623169	863623172	3	
184	863623188	863623190	2	
185	863623277	863623279	2	
186	863624047	863624048	1	
187	863624185	863624186	1	
188	863624216	863624217	1	
189	863624249	863624250	1	
190	863625098	863625099	1	
191	863625208	863625209	1	
192	863625598	863625599	1	
193	863625616	863625617	1	
194	863626695	863626696	1	
195	863626852	863626853	1	
196	863627239	863627240	1	
197	863627445	863627447	2	
198	863627572	863627573	1	
199	863627913	863627914	1	
200	863628423	863628425	2	
201	863629631	863629632	1	
202	863629933	863629934	1	
203	863630365	863630366	1	
204	863630696	863630697	1	
205	863631038	863631039	1	
206	863631071	863631073	2	
207	863631311	863631312	1	
208	863631839	863631840	1	
209	863631910	863631911	1	
210	863632081	863632082	1	
211	863632191	863632193	2	
212	863632212	863632214	2	
213	863632263	863632264	1	
214	863632381	863632383	2	
215	863632416	863632417	1	
216	863632449	863632450	1	
217	863632489	863632490	1	
218	863632546	863632547	1	
219	863633671	863633673	2	
220	863633675	863633676	1	
221	863633752	863633754	2	
222	863633762	863633764	2	
223	863633804	863633805	1	
224	863633868	863633870	2	
225	863634341	863634342	1	
226	863637144	863637146	2	
227	863637337	863637339	2	
228	863637873	863637874	1	
229	863638012	863638014	2	
230	863638076	863638077	1	
231	863638311	863638313	2	
232	863638995	863638996	1	
233	863640108	863640109	1	
234	863640514	863640515	1	
235	863641341	863641342	1	
236	863642195	863642197	2	
237	863642353	863642355	2	
238	863642674	863642675	1	
239	863643238	863643239	1	
240	863643397	863643398	1	
241	863643501	863643502	1	
242	863644015	863644105	90	
243	863644445	863644446	1	
244	863644631	863644634	3	
245	863644774	863644775	1	
246	863644785	863644787	2	
247	863645020	863645022	2	
248	863645029	863645030	1	
249	863645102	863645103	1	
250	863645208	863645209	1	
251	863645264	863645267	3	
252	863645272	863645275	3	
253	863645363	863645365	2	
254	863645401	863645402	1	
255	863645409	863645411	2	
256	863645456	863645461	5	
257	863645489	863645491	2	
258	863645638	863645639	1	
259	863645641	863645642	1	
260	863645701	863645702	1	
261	863645792	863645793	1	
262	863645943	863645945	2	
263	863645949	863645951	2	
264	863645967	863645969	2	
265	863645970	863645973	3	
266	863645983	863645985	2	
267	863646027	863646028	1	
268	863646051	863646052	1	
269	863646057	863646059	2	
270	863646062	863646063	1	
271	863646065	863646066	1	
272	863646121	863646122	1	
273	863646165	863646166	1	
274	863646171	863646172	1	
275	863646196	863646198	2	
276	863646254	863646255	1	
277	863646379	863646380	1	
278	863646974	863646975	1	
279	863647177	863647178	1	
280	863647665	863651135	3470	
281	863651444	863651445	1	
282	863652455	863652456	1	
283	863652774	863652775	1	
284	863652779	863652780	1	
285	863652796	863652798	2	
286	863654374	863654375	1	
287	863654564	863654565	1	
288	863654695	863654696	1	
289	863655281	863655282	1	
290	863655349	863655350	1	
291	863655990	863655991	1	
292	863656014	863657845	1831	
293	863658201	863658202	1	
294	863658397	863658398	1	
295	863658442	863658444	2	
296	863658479	863658480	1	
297	863658834	863658835	1	
298	863658911	863658912	1	
299	863659320	863659321	1	
300	863659868	863659869	1	
301	863659901	863659902	1	
302	863660221	863660222	1	
303	863660288	863660289	1	
304	863660914	863660915	1	
305	863661061	863661062	1	
306	863661097	863661098	1	
307	863661218	863661219	1	
308	863661268	863661269	1	
309	863661426	863661427	1	
310	863662739	863662740	1	
311	863663015	863663016	1	
312	863663261	863663262	1	
313	863663417	863663418	1	
314	863663806	863663807	1	
315	863664214	863664215	1	
316	863664653	863664655	2	
317	863664715	863671085	6370	
318	863671786	863671788	2	
319	863671823	863671824	1	
320	863671871	863671872	1	
321	863671932	863671934	2	
322	863672227	863672228	1	
323	863672341	863672342	1	
324	863672558	863672559	1	
325	863673226	863673227	1	
326	863673696	863673697	1	
327	863675400	863675402	2	
328	863676737	863676738	1	
329	863678695	863680515	1820	
330	863681143	863681144	1	
331	863683127	863683128	1	
332	863683888	863683890	2	
333	863684301	863684303	2	
334	863684513	863684516	3	
335	863684713	863684714	1	
336	863684797	863684799	2	
337	863684824	863684825	1	
338	863684917	863684918	1	
339	863684958	863684959	1	
340	863684961	863684962	1	
341	863684991	863684992	1	
342	863685075	863685076	1	
343	863685165	863685166	1	
344	863685234	863685235	1	
345	863685541	863685543	2	
346	863685606	863685608	2	
347	863685610	863685612	2	
348	863685787	863685788	1	
349	863686048	863686050	2	
350	863686053	863686054	1	
351	863686108	863686109	1	
352	863686247	863686248	1	
353	863686363	863686364	1	
354	863686592	863686593	1	
355	863686602	863686603	1	
356	863686654	863686656	2	
357	863686827	863686828	1	
358	863687380	863687381	1	
359	863687710	863687711	1	
360	863688008	863688010	2	
361	863688567	863688569	2	
362	863688574	863688575	1	
363	863688653	863688654	1	
364	863688724	863688725	1	
365	863688743	863688745	2	
366	863688771	863688772	1	
367	863688988	863688989	1	
368	863689131	863689133	2	
369	863689295	863689297	2	
370	863689341	863689342	1	
371	863689383	863689384	1	
372	863689389	863689390	1	
373	863689471	863689473	2	
374	863689804	863689806	2	
375	863689953	863689954	1	
376	863690023	863690024	1	
377	863690276	863690278	2	
378	863690814	863690816	2	
379	863690957	863690959	2	
380	863691105	863691106	1	
381	863691430	863691431	1	
382	863691529	863691530	1	
383	863691595	863691597	2	
384	863691614	863691615	1	
385	863691731	863691732	1	
